"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"고운동(마음로)",무인대여소,,세종특별자치시 고운동 2057,36.516842,127.230700,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동(마음로)",무인대여소,,세종특별자치시 고운동 2057,36.516825,127.230874,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동침례교회앞",무인대여소,,세종특별자치시 고운동 2057,36.517593,127.231787,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동(마음로)",무인대여소,,세종특별자치시 고운동 1152,36.518381,127.232672,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동(마음로)",무인대여소,,세종특별자치시 고운동 2057,36.518663,127.232677,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동(마음안로)",무인대여소,,세종특별자치시 고운동 2058,36.516338,127.234859,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"고운동복합커뮤니티센터",무인대여소,,세종특별자치시 고운동 1382,36.5196885723,127.2366808320,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을1809동앞",무인대여소,,세종특별자치시 고운동 2057,36.520219,127.237027,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"첫마을4단지 버스정류장 남측",무인대여소,,세종특별자치시 한솔동 963,36.4788384900,127.2504858877,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을1506동앞",무인대여소,,세종특별자치시 고운동 1393,36.5164257949,127.2368786119,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"두루중학교",무인대여소,,세종특별자치시 고운동 1385,36.518155,127.2385859729,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을2105동앞",무인대여소,,세종특별자치시 고운동 2058,36.517510,127.241350,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을2003동앞",무인대여소,,세종특별자치시 고운동 1396,36.5162217856,127.2403954485,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을1606동앞",무인대여소,,세종특별자치시 고운동 1395,36.5161687168,127.2385627189,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을1604동앞",무인대여소,,세종특별자치시 고운동 1395,36.5161687168,127.2385627189,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"가락마을810동건너편",무인대여소,,세종특별자치시 고운동 2058,36.508943,127.239969,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
